"transaction_id";"date";"year";"month";"month_name";"quarter";"product_id";"region_id";"payment_id";"units";"unit_price";"revenue"
10001;"2024-01-01";2024;1;"Jan";"T1";1;1;1;2;999.99;1999.98
10002;"2024-01-02";2024;1;"Jan";"T1";2;2;2;1;499.99;499.99
10003;"2024-01-03";2024;1;"Jan";"T1";3;3;3;3;69.99;209.97
10004;"2024-01-04";2024;1;"Jan";"T1";4;1;1;4;15.99;63.96
10005;"2024-01-05";2024;1;"Jan";"T1";5;2;2;1;89.99;89.99
10006;"2024-01-06";2024;1;"Jan";"T1";6;3;1;5;29.99;149.95
10007;"2024-01-07";2024;1;"Jan";"T1";7;1;1;1;2499.99;2499.99
10008;"2024-01-08";2024;1;"Jan";"T1";8;2;2;2;599.99;1199.98
10009;"2024-01-09";2024;1;"Jan";"T1";9;3;3;6;89.99;539.94
10010;"2024-01-10";2024;1;"Jan";"T1";10;1;1;2;25.99;51.98
10011;"2024-01-11";2024;1;"Jan";"T1";11;2;2;1;129.99;129.99
10012;"2024-01-12";2024;1;"Jan";"T1";12;3;1;3;199.99;599.97
10013;"2024-01-13";2024;1;"Jan";"T1";13;1;1;2;749.99;1499.98
10014;"2024-01-14";2024;1;"Jan";"T1";14;2;2;1;189.99;189.99
10015;"2024-01-15";2024;1;"Jan";"T1";15;3;3;2;249.99;499.98
10016;"2024-01-16";2024;1;"Jan";"T1";16;1;1;3;35.99;107.97
10017;"2024-01-17";2024;1;"Jan";"T1";17;2;2;1;399.99;399.99
10018;"2024-01-18";2024;1;"Jan";"T1";18;3;1;4;119.99;479.96
10019;"2024-01-19";2024;1;"Jan";"T1";19;1;1;2;499.99;999.98
10020;"2024-01-20";2024;1;"Jan";"T1";20;2;2;1;99.99;99.99
10021;"2024-01-21";2024;1;"Jan";"T1";21;3;3;3;59.99;179.97
10022;"2024-01-22";2024;1;"Jan";"T1";22;1;1;2;22.99;45.98
10023;"2024-01-23";2024;1;"Jan";"T1";23;2;2;1;49.99;49.99
10024;"2024-01-24";2024;1;"Jan";"T1";24;3;1;3;29.99;89.97
10025;"2024-01-25";2024;1;"Jan";"T1";25;1;1;1;299.99;299.99
10026;"2024-01-26";2024;1;"Jan";"T1";26;2;2;1;179.99;179.99
10027;"2024-01-27";2024;1;"Jan";"T1";27;3;3;2;179.99;359.98
10028;"2024-01-28";2024;1;"Jan";"T1";28;1;1;3;12.99;38.97
10029;"2024-01-29";2024;1;"Jan";"T1";29;2;2;1;29.99;29.99
10030;"2024-01-30";2024;1;"Jan";"T1";30;3;1;2;129.99;259.98
10031;"2024-01-31";2024;1;"Jan";"T1";31;1;1;2;349.99;699.98
10032;"2024-02-01";2024;2;"Fev";"T1";32;2;2;3;89.99;269.97
10033;"2024-02-02";2024;2;"Fev";"T1";33;3;3;5;29.99;149.95
10034;"2024-02-03";2024;2;"Fev";"T1";34;1;1;4;19.99;79.96
10035;"2024-02-04";2024;2;"Fev";"T1";35;2;2;2;39.99;79.98
10036;"2024-02-05";2024;2;"Fev";"T1";36;3;1;1;1895.0;1895.0
10037;"2024-02-06";2024;2;"Fev";"T1";37;1;1;3;399.99;1199.97
10038;"2024-02-07";2024;2;"Fev";"T1";38;2;2;2;799.99;1599.98
10039;"2024-02-08";2024;2;"Fev";"T1";39;3;3;4;59.99;239.96
10040;"2024-02-09";2024;2;"Fev";"T1";40;1;1;3;24.99;74.97
10041;"2024-02-10";2024;2;"Fev";"T1";41;2;2;1;105.0;105.0
10042;"2024-02-11";2024;2;"Fev";"T1";42;3;1;2;129.99;259.98
10043;"2024-02-12";2024;2;"Fev";"T1";43;1;1;3;399.99;1199.97
10044;"2024-02-13";2024;2;"Fev";"T1";44;2;2;1;199.99;199.99
10045;"2024-02-14";2024;2;"Fev";"T1";45;3;3;2;139.99;279.98
10046;"2024-02-15";2024;2;"Fev";"T1";46;1;1;4;32.5;130.0
10047;"2024-02-16";2024;2;"Fev";"T1";47;2;2;1;52.0;52.0
10048;"2024-02-17";2024;2;"Fev";"T1";48;3;1;6;39.99;239.94
10049;"2024-02-18";2024;2;"Fev";"T1";49;1;1;2;129.99;259.98
10050;"2024-02-19";2024;2;"Fev";"T1";50;2;2;1;299.99;299.99
10051;"2024-02-20";2024;2;"Fev";"T1";51;3;3;3;154.99;464.97
10052;"2024-02-21";2024;2;"Fev";"T1";52;1;1;2;26.99;53.98
10053;"2024-02-22";2024;2;"Fev";"T1";53;2;2;1;49.0;49.0
10054;"2024-02-23";2024;2;"Fev";"T1";54;3;1;5;49.99;249.95
10055;"2024-02-24";2024;2;"Fev";"T1";55;1;1;4;59.99;239.96
10056;"2024-02-25";2024;2;"Fev";"T1";56;2;2;1;499.99;499.99
10057;"2024-02-26";2024;2;"Fev";"T1";57;3;3;5;29.99;149.95
10058;"2024-02-27";2024;2;"Fev";"T1";58;1;1;3;28.0;84.0
10059;"2024-02-28";2024;2;"Fev";"T1";59;2;2;2;23.0;46.0
10060;"2024-02-29";2024;2;"Fev";"T1";60;3;1;1;349.0;349.0
10061;"2024-03-01";2024;3;"Mar";"T1";61;1;1;3;299.99;899.97
10062;"2024-03-02";2024;3;"Mar";"T1";62;2;2;2;199.99;399.98
10063;"2024-03-03";2024;3;"Mar";"T1";63;3;3;10;9.99;99.9
10064;"2024-03-04";2024;3;"Mar";"T1";64;1;1;4;18.99;75.96
10065;"2024-03-05";2024;3;"Mar";"T1";65;2;2;1;102.0;102.0
10066;"2024-03-06";2024;3;"Mar";"T1";66;3;1;2;299.99;599.98
10067;"2024-03-07";2024;3;"Mar";"T1";67;1;1;1;1199.99;1199.99
10068;"2024-03-08";2024;3;"Mar";"T1";68;2;2;3;219.99;659.97
10069;"2024-03-09";2024;3;"Mar";"T1";69;3;3;4;59.99;239.96
10070;"2024-03-10";2024;3;"Mar";"T1";70;1;1;2;10.99;21.98
10071;"2024-03-11";2024;3;"Mar";"T1";71;2;2;1;78.0;78.0
10072;"2024-03-12";2024;3;"Mar";"T1";72;3;1;3;129.99;389.97
10073;"2024-03-13";2024;3;"Mar";"T1";73;1;1;1;1599.99;1599.99
10074;"2024-03-14";2024;3;"Mar";"T1";74;2;2;1;899.99;899.99
10075;"2024-03-15";2024;3;"Mar";"T1";75;3;3;5;49.99;249.95
10076;"2024-03-16";2024;3;"Mar";"T1";76;1;1;4;14.99;59.96
10077;"2024-03-17";2024;3;"Mar";"T1";77;2;2;2;16.0;32.0
10078;"2024-03-18";2024;3;"Mar";"T1";78;3;1;3;69.99;209.97
10079;"2024-03-19";2024;3;"Mar";"T1";79;1;1;2;249.99;499.98
10080;"2024-03-20";2024;3;"Mar";"T1";80;2;2;1;499.99;499.99
10081;"2024-03-21";2024;3;"Mar";"T1";81;3;3;2;89.99;179.98
10082;"2024-03-22";2024;3;"Mar";"T1";82;1;1;3;12.99;38.97
10083;"2024-03-23";2024;3;"Mar";"T1";83;2;2;1;100.0;100.0
10084;"2024-03-24";2024;3;"Mar";"T1";84;3;1;6;24.99;149.94
10085;"2024-03-25";2024;3;"Mar";"T1";85;1;1;1;99.99;99.99
10086;"2024-03-26";2024;3;"Mar";"T1";86;2;2;2;1299.99;2599.98
10087;"2024-03-27";2024;3;"Mar";"T1";87;3;3;3;79.99;239.97
